Model,AIC,BIC,Parameters,Type
"ARIMA(2,0,4)",-1282.5093722404913,-1242.1153335104445,"p=2, d=0, q=4",ARIMA
"ARIMA(3,0,4)",-1279.380912203527,-1233.9376186322245,"p=3, d=0, q=4",ARIMA
"ARIMA(4,0,4)",-1277.3173265162366,-1226.8247781036782,"p=4, d=0, q=4",ARIMA
"ARIMA(4,0,3)",-1239.1109892833865,-1193.667695712084,"p=4, d=0, q=3",ARIMA
"ARIMA(2,0,3)",-1229.6119961594138,-1194.267212270623,"p=2, d=0, q=3",ARIMA
"ARIMA(4,0,2)",-1201.260961072476,-1160.8669223424292,"p=4, d=0, q=2",ARIMA
MA(5),-1199.886562189342,-1164.541778300551,q=5,MA
"ARIMA(4,0,1)",-1199.5371895604094,-1164.1924056716184,"p=4, d=0, q=1",ARIMA
AR(5),-1199.5097395195903,-1169.2403088168141,p=5,AR
"ARIMA(3,0,2)",-1197.5983433565214,-1162.2535594677306,"p=3, d=0, q=2",ARIMA
"ARIMA(3,0,1)",-1196.9272432776697,-1166.6317142301348,"p=3, d=0, q=1",ARIMA
"ARIMA(0,0,3)",-1184.8941982413546,-1159.6479240350754,"p=0, d=0, q=3",ARIMA
"ARIMA(1,0,2)",-1184.5434690327343,-1159.297194826455,"p=1, d=0, q=2",ARIMA
"ARIMA(2,0,2)",-1183.8917351309344,-1153.5962060833995,"p=2, d=0, q=2",ARIMA
"ARMA(2,2)",-1183.8917351309344,-1153.5962060833995,"p=2, q=2",ARMA
"ARIMA(0,0,2)",-1183.7664000320049,-1163.5693806669815,"p=0, d=0, q=2",ARIMA
"ARIMA(1,0,4)",-1183.714953347669,-1148.370169458878,"p=1, d=0, q=4",ARIMA
"ARIMA(0,0,4)",-1183.1777713409601,-1152.8822422934252,"p=0, d=0, q=4",ARIMA
"ARIMA(1,0,3)",-1182.9242350465752,-1152.6287059990402,"p=1, d=0, q=3",ARIMA
"ARIMA(3,0,3)",-1181.4078369963324,-1141.0137982662857,"p=3, d=0, q=3",ARIMA
"ARIMA(2,0,1)",-1181.253343347863,-1156.0070691415838,"p=2, d=0, q=1",ARIMA
"ARIMA(1,0,1)",-1172.275379654633,-1152.0783602896097,"p=1, d=0, q=1",ARIMA
"ARIMA(3,0,0)",-1143.1212068087998,-1117.8749326025206,"p=3, d=0, q=0",ARIMA
"ARIMA(4,0,0)",-1142.2262726473116,-1111.9307435997766,"p=4, d=0, q=0",ARIMA
"ARIMA(0,0,1)",-1134.6619246325042,-1119.5141601087366,"p=0, d=0, q=1",ARIMA
"ARIMA(2,0,0)",-1101.6573202177924,-1081.460300852769,"p=2, d=0, q=0",ARIMA
"ARIMA(1,0,0)",-925.311366308028,-910.1636017842605,"p=1, d=0, q=0",ARIMA
"ARIMA(0,0,0)",-806.0780858713542,-795.9795761888425,"p=0, d=0, q=0",ARIMA
